sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[ 125s] threads: 1, tps: 51.00, reads: 704.96, writes: 0.00, response time: 21.53ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 1, tps: 52.00, reads: 739.02, writes: 0.00, response time: 21.06ms (95%), errors: 0.00, reconnects:  0.00
[ 127s] threads: 1, tps: 51.00, reads: 702.93, writes: 0.00, response time: 21.90ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 1, tps: 50.01, reads: 700.08, writes: 0.00, response time: 22.75ms (95%), errors: 0.00, reconnects:  0.00
[ 129s] threads: 1, tps: 51.00, reads: 715.96, writes: 0.00, response time: 21.59ms (95%), errors: 0.00, reconnects:  0.00
[ 130s] threads: 1, tps: 49.00, reads: 696.03, writes: 0.00, response time: 22.00ms (95%), errors: 0.00, reconnects:  0.00
[ 131s] threads: 1, tps: 51.99, reads: 726.93, writes: 0.00, response time: 21.25ms (95%), errors: 0.00, reconnects:  0.00
[ 132s] threads: 1, tps: 50.01, reads: 693.09, writes: 0.00, response time: 22.38ms (95%), errors: 0.00, reconnects:  0.00
[ 133s] threads: 1, tps: 50.00, reads: 694.96, writes: 0.00, response time: 23.34ms (95%), errors: 0.00, reconnects:  0.00
[ 134s] threads: 1, tps: 49.00, reads: 698.02, writes: 0.00, response time: 21.59ms (95%), errors: 0.00, reconnects:  0.00
[ 135s] threads: 1, tps: 50.00, reads: 697.97, writes: 0.00, response time: 21.62ms (95%), errors: 0.00, reconnects:  0.00
[ 136s] threads: 1, tps: 52.00, reads: 724.05, writes: 0.00, response time: 21.12ms (95%), errors: 0.00, reconnects:  0.00
[ 137s] threads: 1, tps: 49.00, reads: 692.96, writes: 0.00, response time: 22.28ms (95%), errors: 0.00, reconnects:  0.00
