sysbench 0.5:  multi-threaded system evaluation benchmark

Running the test with following options:
Number of threads: 1
Report intermediate results every 1 second(s)
Random number generator seed is 0 and will be ignored


Threads started!

[ 111s] threads: 1, tps: 285.00, reads: 3990.05, writes: 0.00, response time: 3.81ms (95%), errors: 0.00, reconnects:  0.00
[ 112s] threads: 1, tps: 277.00, reads: 3870.95, writes: 0.00, response time: 3.99ms (95%), errors: 0.00, reconnects:  0.00
[ 113s] threads: 1, tps: 283.96, reads: 3976.47, writes: 0.00, response time: 3.98ms (95%), errors: 0.00, reconnects:  0.00
[ 114s] threads: 1, tps: 281.04, reads: 3931.57, writes: 0.00, response time: 3.92ms (95%), errors: 0.00, reconnects:  0.00
[ 115s] threads: 1, tps: 272.01, reads: 3812.14, writes: 0.00, response time: 4.16ms (95%), errors: 0.00, reconnects:  0.00
[ 116s] threads: 1, tps: 280.99, reads: 3930.86, writes: 0.00, response time: 4.00ms (95%), errors: 0.00, reconnects:  0.00
[ 117s] threads: 1, tps: 285.96, reads: 4007.48, writes: 0.00, response time: 3.89ms (95%), errors: 0.00, reconnects:  0.00
[ 118s] threads: 1, tps: 292.04, reads: 4083.52, writes: 0.00, response time: 3.96ms (95%), errors: 0.00, reconnects:  0.00
[ 119s] threads: 1, tps: 284.01, reads: 3973.08, writes: 0.00, response time: 3.88ms (95%), errors: 0.00, reconnects:  0.00
[ 120s] threads: 1, tps: 268.00, reads: 3758.95, writes: 0.00, response time: 4.08ms (95%), errors: 0.00, reconnects:  0.00
[ 121s] threads: 1, tps: 283.98, reads: 3981.72, writes: 0.00, response time: 3.96ms (95%), errors: 0.00, reconnects:  0.00
[ 122s] threads: 1, tps: 271.01, reads: 3791.16, writes: 0.00, response time: 4.03ms (95%), errors: 0.00, reconnects:  0.00
[ 123s] threads: 1, tps: 268.01, reads: 3756.16, writes: 0.00, response time: 4.25ms (95%), errors: 0.00, reconnects:  0.00
[ 124s] threads: 1, tps: 275.99, reads: 3863.93, writes: 0.00, response time: 3.90ms (95%), errors: 0.00, reconnects:  0.00
[ 125s] threads: 1, tps: 274.96, reads: 3844.51, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
[ 126s] threads: 1, tps: 278.04, reads: 3893.52, writes: 0.00, response time: 4.18ms (95%), errors: 0.00, reconnects:  0.00
[ 127s] threads: 1, tps: 277.00, reads: 3880.04, writes: 0.00, response time: 3.92ms (95%), errors: 0.00, reconnects:  0.00
[ 128s] threads: 1, tps: 281.00, reads: 3922.95, writes: 0.00, response time: 4.01ms (95%), errors: 0.00, reconnects:  0.00
